Intake.Type,Intake.Subtype,Animal.Type,Sex,Intake.Condition,Breed,Coat.Color.Pattern,Week.Number,Age
STRAY,OTC,DOG,N,NORMAL,GREAT PYRENEES,WHITE,0.14,3.052
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,YELLOW,0.14,2.416
STRAY,OTC,DOG,N,NORMAL,FLAT COAT RETR,BLACK,0.14,2.416
STRAY,OTC,DOG,F,NORMAL,POINTER,WHITE,0.14,2.416
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.14,2.186
STRAY,OTC,DOG,N,NORMAL,COCKER SPAN,GOLD,0.14,2.186
STRAY,OTC,DOG,N,NORMAL,BOXER,BROWN,0.14,13.939
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.14,13.969
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,TRICOLOR,0.14,14.111
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,ORG TABBY,0.14,18.227
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TAN,0.14,13.186
STRAY,OTC,DOG,N,NORMAL,JACK RUSS TERR,WHITE,0.14,13.186
STRAY,OTC,DOG,N,NORMAL,PIT BULL,BROWN,0.14,13.186
OWNER SUR,OTC,DOG,S,NORMAL,PIT BULL,TAN,0.14,13.186
STRAY,OTC,DOG,S,NORMAL,SIBERIAN HUSKY,WHITE,0.14,18.969
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.14,18.189
STRAY,OTC,DOG,S,NORMAL,JACK RUSS TERR,WHITE,0.14,19.969
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,BLUE,0.14,20.243
STRAY,OTC,DOG,S,NORMAL,YORKSHIRE TERR,RED,0.14,19.186
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,WHITE,0.14,19.189
STRAY,OTC,DOG,S,NORMAL,SHIH TZU,BLACK,0.14,19.189
PUBLIC AST,SURGERY,DOG,S,NORMAL,GERM SH POINT,BLACK,0.14,19.291
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.14,19.985
OWNER SUR,OTC,DOG,M,NORMAL,PIT BULL,TAN,0.14,21.23
STRAY,OTC,DOG,S,NORMAL,SHETLD SHEEPDOG,RED,0.14,21.243
STRAY,OTC,DOG,N,NORMAL,BOXER,BR BRINDLE,0.14,20.186
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,BLACK,0.14,20.189
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.14,21.969
STRAY,OTC,DOG,S,INJURED,CHOW CHOW,BLACK,0.14,21.189
STRAY,OTC,DOG,M,NORMAL,BOXER,BROWN,0.14,22.189
OWNER SUR,OTC,DOG,N,NORMAL,BOXER,BR BRINDLE,0.14,22.219
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,CRM TABBY,0.14,22.219
STRAY,OTC,DOG,M,NORMAL,CHINESE SHARPEI,BLACK,0.14,23.219
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.14,24.219
OWNER SUR,OTC,DOG,N,NORMAL,BOXER,WHITE,0.14,24.219
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.14,3.219
STRAY,OTC,DOG,F,OTHER,LABRADOR RETR,CHOCOLATE,0.14,3.219
STRAY,EMERG CLC,DOG,S,NORMAL,BASSET HOUND,BUFF,0.14,3.219
STRAY,OTC,DOG,S,OTHER,SIBERIAN HUSKY,BLACK,0.14,6.249
STRAY,OTC,DOG,F,NURSING,LABRADOR RETR,RED,0.29,1.257
STRAY,OTC,DOG,F,NURSING,LABRADOR RETR,RED,0.29,1.257
STRAY,OTC,DOG,N,NURSING,LABRADOR RETR,RED,0.29,1.257
STRAY,OTC,DOG,M,NURSING,LABRADOR RETR,RED,0.29,1.257
STRAY,OTC,DOG,M,NURSING,LABRADOR RETR,TAN,0.29,1.257
STRAY,OTC,DOG,S,NURSING,LABRADOR RETR,TAN,0.29,1.257
STRAY,OTC,DOG,F,NURSING,LABRADOR RETR,BRN MERLE,0.29,1.257
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,WHITE,0.29,1.746
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.29,1.772
STRAY,FIELD,DOG,N,NORMAL,MIN PINSCHER,TRICOLOR,0.29,1.78
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,BROWN,0.29,1.783
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.29,1.974
OWNER SUR,OTC,DOG,N,NORMAL,BORDER COLLIE,BLACK,0.29,3.105
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,PIT BULL,WHITE,0.29,3.208
STRAY,FIELD,DOG,N,NORMAL,COLLIE ROUGH,BLACK,0.29,3.219
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,RED,0.29,2.399
STRAY,FIELD,DOG,N,NORMAL,GOLDEN RETR,TAN,0.29,2.41
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,0.29,13.238
STRAY,OTC,CAT,U,FERAL,DOMESTIC SH,BRN TABBY,0.29,2.186
STRAY,FIELD,DOG,N,NORMAL,MANCHESTER TERR,BLACK,0.29,2.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE TABBY,0.29,2.186
PUBLIC AST,SURGERY,DOG,S,NORMAL,POODLE MIN,BLACK,0.29,2.252
STRAY,OTC,DOG,N,NORMAL,POODLE MIN,WHITE,0.29,13.969
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA LH,TAN,0.29,13.969
STRAY,OTC,DOG,S,INJURED,SCHNAUZER MIN,BLACK,0.29,14.044
STRAY,FIELD,DOG,N,NORMAL,MIN PINSCHER,BLACK,0.29,18.238
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,BLACK,0.29,18.243
STRAY,OTC,DOG,N,NORMAL,BLUE LACY,BLUE,0.29,13.186
OWNER SUR,OTC,DOG,N,NORMAL,POODLE MIN,BLACK,0.29,13.186
STRAY,OTC,DOG,N,NORMAL,BORDER COLLIE,WHITE,0.29,13.186
OWNER SUR,OTC,DOG,S,NORMAL,POODLE MIN,APRICOT,0.29,13.186
OWNER SUR,RETURN,DOG,N,NORMAL,GERM SHEPHERD,CREAM,0.29,13.644
STRAY,OTC,DOG,N,NORMAL,HARRIER,BROWN,0.29,13.982
STRAY,OTC,DOG,M,NORMAL,NORWICH TERRIER,TAN,0.29,13.991
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,SCHNAUZER MIN,GRAY,0.29,19.202
STRAY,FIELD,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.29,19.238
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.29,18.189
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,WHITE,0.29,18.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.29,18.189
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.29,18.189
STRAY,FIELD,DOG,N,SICK,AMER BULLDOG,WHITE,0.29,18.189
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,POODLE MIN,WHITE,0.29,18.916
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.29,21.186
STRAY,FIELD,CAT,S,INJURED,DOMESTIC SH,BROWN,0.29,20.186
EUTH REQ,OTC OWNED,CAT,N,SICK,DOMESTIC SH,BLUE,0.29,20.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,ORG TABBY,0.29,20.189
OWNER SUR,OTC,DOG,N,NORMAL,CHIHUAHUA SH,BLACK,0.29,20.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC LH,FLAME PT,0.29,20.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.29,20.189
STRAY,FIELD,DOG,N,NORMAL,ROTTWEILER,BLACK,0.29,20.189
STRAY,OTC,DOG,S,NORMAL,GOLDEN RETR,RED,0.29,21.189
OWNER SUR,OTC,DOG,N,SICK,CHIHUAHUA SH,TAN,0.29,21.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,0.29,21.189
PUBLIC AST,OIJ,DOG,N,NORMAL,SHIBA INU,CREAM,0.29,22.219
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BROWN,0.29,23.219
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.29,4.23
STRAY,EMERG CLC,DOG,S,INJURED,BORDER COLLIE,BLACK,0.29,4.241
STRAY,OTC,CAT,F,NORMAL,DOMESTIC LH,TORBIE,0.43,1.63
STRAY,FIELD,DOG,S,NORMAL,CHOW CHOW,BLACK,0.43,1.644
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.644
STRAY,FIELD,DOG,N,NORMAL,CHOW CHOW,BLACK,0.43,1.644
STRAY,OTC,CAT,S,NORMAL,DOMESTIC LH,BLACK,0.43,1.657
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,1.603
STRAY,OTC,CAT,N,NORMAL,RAGDOLL,SEAL PT,0.43,1.611
STRAY,OTC,CAT,S,NORMAL,RAGDOLL,SEAL PT,0.43,1.611
OWNER SUR,OTC,DOG,F,SICK,PIT BULL,WHITE,0.43,1.689
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,BRN TABBY,0.43,1.863
STRAY,FIELD,DOG,N,NORMAL,POODLE MIN,WHITE,0.43,3.163
OWNER SUR,OTC,DOG,N,NORMAL,PIT BULL,RED,0.43,2.416
STRAY,OTC,DOG,S,NORMAL,PIT BULL,BLACK,0.43,2.455
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,BUFF,0.43,2.491
STRAY,NO SUBTYPE,DOG,N,NORMAL,PIT BULL,WHITE,0.43,13.238
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,WHITE,0.43,13.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.43,13.186
STRAY,OTC,DOG,F,NORMAL,GOLDEN RETR,GOLD,0.43,13.186
OWNER SUR,OTC,CAT,N,FERAL,DOMESTIC LH,BLACK,0.43,13.186
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,ORG TABBY,0.43,13.186
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,ORG TABBY,0.43,13.186
PUBLIC AST,SURGERY,DOG,S,NORMAL,BEAGLE,BROWN,0.43,13.327
STRAY,FIELD,DOG,S,INJURED,AMER ESKIMO,WHITE,0.43,13.905
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.43,19.23
STRAY,OTC,CAT,N,INJURED,DOMESTIC SH,BLACK,0.43,19.238
STRAY,FIELD,DOG,N,NORMAL,AUST SHEPHERD,RED MERLE,0.43,19.243
STRAY,FIELD,DOG,S,SICK,PIT BULL,TAN,0.43,18.189
STRAY,FIELD,DOG,M,NORMAL,ROTTWEILER,BR BRINDLE,0.43,18.189
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,TAN,0.43,18.189
STRAY,FIELD,DOG,N,NORMAL,MIN PINSCHER,RED,0.43,18.189
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,BR BRINDLE,0.43,18.189
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,FAWN,0.43,20.036
STRAY,OTC,DOG,M,NORMAL,BOXER,BR BRINDLE,0.43,19.186
STRAY,OTC,DOG,N,NORMAL,WELSH CORGI CAR,BROWN,0.43,19.189
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,CATAHOULA,BLUE MERLE,0.43,19.98
OWNER SUR,OTC,DOG,N,NORMAL,GREAT PYRENEES,WHITE,0.43,20.999
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.43,21.235
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TRICOLOR,0.43,20.605
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,TAN,0.43,22.186
OWNER SUR,OTC,CAT,S,NORMAL,BRITISH SH,ORG TABBY,0.43,22.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.43,21.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,0.43,21.275
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,FLAME PT,0.43,23.238
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,WHITE,0.43,23.243
OWNER SUR,OTC,DOG,S,NORMAL,BOXER,FAWN,0.43,25.111
OWNER SUR,OTC,DOG,S,NORMAL,JACK RUSS TERR,WHITE,0.43,3.663
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,BRN TABBY,0.43,4.786
STRAY,FIELD,CAT,M,WHITE,NA,NA,0.43,26.351
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,ORG TABBY,0.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,0.57,1.603
STRAY,OTC,DOG,S,NORMAL,PIT BULL,BROWN,0.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.57,1.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.57,1.603
STRAY,OTC,CAT,S,NORMAL,DOMESTIC MH,BLACK,0.57,1.721
OWNER SUR,RETURN,DOG,N,NORMAL,LABRADOR RETR,TAN,0.57,1.727
STRAY,OTC,CAT,S,NORMAL,DOMESTIC LH,TORTIE,0.57,1.821
STRAY,FIELD,DOG,S,NORMAL,BOXER,WHITE,0.57,1.772
STRAY,OTC,CAT,M,NORMAL,DOMESTIC LH,BLACK,0.57,1.835
STRAY,OTC,CAT,M,NORMAL,DOMESTIC SH,BRN TABBY,0.57,1.855
STRAY,FIELD,CAT,N,SICK,DOMESTIC LH,WHITE,0.57,1.958
STRAY,OTC,DOG,N,NORMAL,BASSET HOUND,BLUE,0.57,1.966
STRAY,OTC,DOG,N,NORMAL,JACK RUSS TERR,BROWN,0.57,2.969
OWNER SUR,OTC,DOG,S,NORMAL,AUST CATTLE DOG,BLACK,0.57,2.969
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,BLUE,0.57,3.052
STRAY,OTC,CAT,S,NORMAL,DOMESTIC LH,BLUE,0.57,3.157
STRAY,OTC,DOG,M,NORMAL,PIT BULL,BROWN,0.57,3.135
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.57,3.219
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,TAN,0.57,2.383
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,BLK SMOKE,0.57,2.488
OWNER SUR,OTC,DOG,N,NORMAL,DACHSHUND,CHOCOLATE,0.57,2.436
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,0.57,2.436
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,CHOCOLATE,0.57,13.246
STRAY,FIELD,DOG,M,NORMAL,PIT BULL,WHITE,0.57,2.186
STRAY,FIELD,DOG,N,NORMAL,GERM SHEPHERD,BLACK,0.57,13.969
STRAY,FIELD,DOG,F,NORMAL,BOXER,BR BRINDLE,0.57,13.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,LYNX PT,0.57,13.186
STRAY,FIELD,DOG,F,NORMAL,PIT BULL,TAN,0.57,13.186
STRAY,EMERG CLC,DOG,N,INJURED,GERM SHEPHERD,BLACK,0.57,13.186
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,BLACK,0.57,13.186
STRAY,FIELD,DOG,N,NORMAL,POODLE MIN,WHITE,0.57,13.186
STRAY,FIELD,DOG,S,NORMAL,AMER BULLDOG,WHITE,0.57,13.186
OWNER SUR,OTC,CAT,N,FERAL,DOMESTIC SH,BLUE,0.57,13.186
OWNER SUR,RETURN,DOG,F,NORMAL,PIT BULL,WHITE,0.57,13.265
STRAY,OTC,CAT,S,NORMAL,DOMESTIC LH,BLACK,0.57,13.905
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA SH,TAN,0.57,19.238
STRAY,OTC,DOG,N,NORMAL,LHASA APSO,WHITE,0.57,18.189
STRAY,OTC,DOG,N,NORMAL,GOLDEN RETR,GOLD,0.57,18.189
OWNER SUR,RETURN,DOG,S,NORMAL,DACHSHUND,WHITE,0.57,18.288
STRAY,OTC,CAT,M,NORMAL,DOMESTIC LH,BLUE,0.57,19.189
STRAY,FIELD,DOG,M,NORMAL,ENG BULLDOG,WHITE,0.57,19.189
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,0.57,19.991
STRAY,FIELD,DOG,N,NORMAL,DACHSHUND,BROWN,0.57,21.224
STRAY,FIELD,DOG,N,NORMAL,GREAT DANE,TAN,0.57,21.232
STRAY,OTC,CAT,N,NORMAL,DOMESTIC LH,ORG TABBY,0.57,20.189
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,0.57,22.219
OWNER SUR,OTC,DOG,S,NORMAL,CHIHUAHUA SH,CHOCOLATE,0.57,24.157
STRAY,FIELD,DOG,S,NORMAL,GOLDEN RETR,GOLD,0.57,23.219
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.57,4.249
EUTH REQ,OTC OWNED,CAT,S,SICK,DOMESTIC LH,CALICO,0.57,9.252
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,0.71,1.338
STRAY,OTC,CAT,S,NORMAL,SIAMESE,BLUE PT,0.71,1.338
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,0.71,1.338
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,0.71,1.286
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,0.71,1.286
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLUE,0.71,1.286
STRAY,OTC,CAT,N,INJURED,DOMESTIC SH,BRN TABBY,0.71,1.682
OWNER SUR,OTC,DOG,S,NORMAL,POINTER,TAN,0.71,1.613
OWNER SUR,OTC,DOG,S,NORMAL,POINTER,SABLE,0.71,1.613
OWNER SUR,OTC,DOG,S,NORMAL,CAROLINA DOG,WHITE,0.71,1.613
OWNER SUR,OTC,DOG,N,NORMAL,POINTER,WHITE,0.71,1.705
OWNER SUR,OTC,DOG,N,NORMAL,POINTER,TAN,0.71,1.705
OWNER SUR,OTC,DOG,N,NORMAL,POINTER,WHITE,0.71,1.705
OWNER SUR,OTC,CAT,S,NORMAL,SIAMESE,LYNX PT,0.71,1.689
OWNER SUR,OTC,DOG,F,SICK,BORDER COLLIE,WHITE,0.71,1.689
EUTH REQ,OTC OWNED,DOG,N,SICK,LABRADOR RETR,BLACK,0.71,1.689
OWNER SUR,RETURN,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.71,1.81
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.71,1.78
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,TAN,0.71,1.855
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.71,1.863
STRAY,FIELD,DOG,N,NORMAL,AMERICAN STAFF,BLACK,0.71,3.052
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,BLACK,0.71,3.135
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC LH,BLACK,0.71,3.135
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,WHITE,0.71,3.135
STRAY,OTC,DOG,S,NORMAL,BLACK MOUTH CUR,FAWN,0.71,3.135
STRAY,OTC,DOG,S,NORMAL,BLACK MOUTH CUR,FAWN,0.71,2.416
STRAY,OTC,DOG,N,NORMAL,BLACK MOUTH CUR,FAWN,0.71,2.416
STRAY,OTC,DOG,S,NORMAL,BORDER COLLIE,BLACK,0.71,2.697
STRAY,FIELD,DOG,N,NORMAL,GREAT PYRENEES,WHITE,0.71,2.91
OWNER SUR,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.71,13.969
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.71,14.144
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,FAWN,0.71,13.186
PUBLIC AST,QUARANTINE,CAT,N,NORMAL,DOMESTIC SH,BLUE TABBY,0.71,13.186
STRAY,OTC,DOG,N,NORMAL,AMER BULLDOG,FAWN,0.71,13.186
OWNER SUR,OTC,DOG,S,NORMAL,POINTER,WHITE,0.71,13.186
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,BLACK,0.71,13.186
STRAY,FIELD,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.71,13.746
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,BLUE CREAM,0.71,18.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE CREAM,0.71,18.189
PUBLIC AST,QUARANTINE,DOG,U,NORMAL,RAT TERRIER,BLACK,0.71,20.055
OWNER SUR,OTC,CAT,F,NORMAL,DOMESTIC LH,TORTIE,0.71,19.189
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA SH,BROWN,0.71,21.224
STRAY,FIELD,DOG,S,NORMAL,RHOD RIDGEBACK,TAN,0.71,20.189
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.71,20.627
STRAY,OTC,DOG,S,NORMAL,PIT BULL,WHITE,0.71,20.721
PUBLIC AST,NO SUBTYPE,DOG,S,NORMAL,LABRADOR RETR,BUFF,0.71,20.977
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE CREAM,0.71,21.999
STRAY,FIELD,DOG,M,INJURED,BORDER COLLIE,BLACK,0.71,22.235
OWNER SUR,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,0.71,22.246
OWNER SUR,OTC,CAT,N,NORMAL,MAINE COON,BLUE TABBY,0.71,22.999
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,LABRADOR RETR,TAN,0.71,23.219
OWNER SUR,OTC,DOG,S,NORMAL,AUST SHEPHERD,BLUE MERLE,0.71,23.691
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,LABRADOR RETR,BLACK,0.71,3.219
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,WHITE,0.71,3.219
BORN IN,SHELTER,CAT,N,NURSING,DOMESTIC SH,WHITE,0.86,1.186
BORN IN,SHELTER,CAT,N,NURSING,DOMESTIC SH,WHITE,0.86,1.186
BORN IN,SHELTER,CAT,M,NURSING,DOMESTIC SH,WHITE,0.86,1.186
BORN IN,SHELTER,CAT,F,NURSING,DOMESTIC SH,WHITE,0.86,1.186
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.86,1.277
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.86,1.277
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,0.86,1.277
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.86,1.277
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.86,1.277
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.86,1.283
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,0.86,1.627
STRAY,OTC,DOG,S,NORMAL,GERM SHEPHERD,TAN,0.86,1.66
STRAY,OTC,DOG,S,NORMAL,SIBERIAN HUSKY,CREAM,0.86,1.66
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.86,1.713
PUBLIC AST,QUARANTINE,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,0.86,1.689
OWNER SUR,OTC,DOG,N,NORMAL,AUST CATTLE DOG,RED TICK,0.86,1.786
OWNER SUR,OTC,DOG,N,NORMAL,POODLE MIN,WHITE,0.86,1.78
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,0.86,1.993
STRAY,OTC,DOG,S,NORMAL,BULL TERR MIN,WHITE,0.86,3.152
STRAY,OTC,DOG,S,INJURED,PIT BULL,WHITE,0.86,3.135
